Stream,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,X,Y,ENTRIES,MEAN POINTS,MP DEV,GRADE
EAST,0,1,5,8,17,13,7,2,1,0,0,0,0,0,54,7.7037,1.5185,B-
NORTH,0,1,3,10,8,15,8,5,0,0,0,0,0,0,50,7.46,1.64,C+
SOUTH,0,0,4,9,11,13,12,3,1,1,0,0,0,0,54,7.2963,1.2407,C+
WEST,0,0,1,13,14,6,13,3,4,0,0,0,0,0,54,7.2222,1.0556,C+
CENTRAL,0,0,1,5,10,11,13,7,6,0,0,0,0,0,53,6.5849,1.258,C+
TOTAL,0,2,14,45,60,58,53,20,12,1,0,0,0,0,265,7.2528,1.3362,C+
